Algorithm,PlannerPathFound,ReachedGoal,CompletionTime_s,TravelledDistance_m,PlannedPathLength_m,TrackingRMSE_m,MinimumClearance_m,CollisionGuardEvents,SLAMExplored_percent
A*,1,1,71.52,20.7179740103588,20.9219243362928,0.0189695559037955,0.627567251202216,0,70.8584872159091
Dijkstra,1,1,70.64,20.7560592312294,20.9897587451041,0.0206506929512529,0.627033788475702,0,71.044921875
RRT,1,1,70.32,24.2301102894914,24.6368984936501,0.0350330344538284,0.650132614906998,0,68.8254616477273
RRT*,1,1,61.92,21.285048617787,21.5217092146619,0.0229906757257544,0.654897912907746,0,71.4621803977273
PRM,1,1,64.64,21.1023136909698,21.2804045039823,0.0264598274978301,0.637527911357186,0,71.6752485795455
